Kreis-Id; Stadt;Winterweizen;Roggen und Wintermenggetreide;Wintergerste;Sommergerste;Hafer;Triticale;Kartoffeln;Zuckerrüben;Winterraps;Silomais
08236;      Enzkreis, Landkreis;83,7;/;60,4;/;/;/;/;/;39,2;308,9
08237;      Freudenstadt, Landkreis;86,7;/;54,3;53,7;46,3;/;420,3;-;52,7;/
08311;      Freiburg im Breisgau, Stadtkreis;/;/;/;/;/;/;/;-;/;/
08315;      Breisgau-Hochschwarzwald, Landkreis;98,2;/;53,7;51,4;/;/;469,5;/;46,1;249,6
08316;      Emmendingen, Landkreis;78,9;/;/;/;/;74,1;/;/;/;/
08317;      Ortenaukreis, Landkreis;83,4;/;66,6;44,8;51,3;73,9;/;/;/;/
08325;      Rottweil, Landkreis;82,3;/;62,9;68,4;51,5;/;/;/;43,6;453,6
08326;      Schwarzwald-Baar-Kreis, Landkreis;88,1;/;61,5;/;/;/;/;/;/;343,2
08327;      Tuttlingen, Landkreis;78,6;/;76,9;55,5;/;/;/;/;/;438,4
08335;      Konstanz, Landkreis;68,7;/;/;/;/;/;/;/;/;406
08336;      Lörrach, Landkreis;/;/;/;/;/;/;/;/;/;/
08337;      Waldshut, Landkreis;87,5;/;67,7;59,3;48,2;84,6;/;/;/;455
08415;      Reutlingen, Landkreis;69,4;/;62,3;54;50,6;76,5;206,9;/;36,9;350,3
08416;      Tübingen, Landkreis;80,7;/;53,7;59,4;57,2;/;/;/;45,1;/
08417;      Zollernalbkreis, Landkreis;63,1;/;52,3;57,4;50,7;59,6;/;-;/;434,1
08421;      Ulm, Stadtkreis;/;/;/;/;/;/;/;/;/;/
08425;      Alb-Donau-Kreis, Landkreis;85,7;/;69,5;69,2;/;95,5;/;804,6;44,2;469,5
08426;      Biberach, Landkreis;92,7;/;73,5;70,4;76,4;74,2;/;/;45,8;524,3
08435;      Bodenseekreis, Landkreis;91,6;/;72,1;/;/;/;/;/;/;/
08436;      Ravensburg, Landkreis;92,6;/;79,7;/;56,6;77,5;/;/;/;478,2
08437;      Sigmaringen, Landkreis;91,2;/;75,1;77,1;70;/;/;/;39,5;455
2019;;;;;;;;;;;
08111;      Stuttgart, Stadtkreis;/;/;/;/;/;/;386,8;829,2;/;/
08115;      Böblingen, Landkreis;83,3;/;69,2;67,5;/;/;/;865,8;41,5;/
08116;      Esslingen, Landkreis;79,4;/;69,3;/;/;/;/;/;/;531
08117;      Göppingen, Landkreis;79;/;79,1;/;/;/;/;/;/;525,2
08118;      Ludwigsburg, Landkreis;76;/;80,9;66,7;51,8;/;313,5;782,6;/;488,5
08119;      Rems-Murr-Kreis, Landkreis;75,5;/;70,6;/;48,7;72,6;394,8;813,6;35,1;483,6
08121;      Heilbronn, Stadtkreis;/;/;-;/;/;-;/;/;/;/
08125;      Heilbronn, Landkreis;79,1;/;78,7;70,9;/;/;352,6;846,3;33,6;487
08126;      Hohenlohekreis, Landkreis;74,9;/;74,9;52,6;52,9;/;/;823,8;35,4;469,1
08127;      Schwäbisch Hall, Landkreis;82,5;/;77,3;74,4;/;75,8;/;778;41,7;477,8
08128;      Main-Tauber-Kreis, Landkreis;68,5;57,4;65,9;58,8;53,2;66,3;194,5;777,5;37,2;488,3
08135;      Heidenheim, Landkreis;63,3;/;/;/;/;/;/;/;/;459,5
08136;      Ostalbkreis, Landkreis;77,7;/;70,6;50;32,7;/;/;/;38,1;475,7
08211;      Baden-Baden, Stadtkreis;/;/;/;/;/;/;/;-;-;-
08212;      Karlsruhe, Stadtkreis;/;/;/;/;/;/;/;/;-;-
08215;      Karlsruhe, Landkreis;71,7;59,7;71,9;60,1;44,8;/;507,8;761,9;29,4;/
08216;      Rastatt, Landkreis;72,4;/;/;/;/;/;/;-;/;/
08221;      Heidelberg, Stadtkreis;/;-;/;/;/;-;/;/;/;/
08222;      Mannheim, Stadtkreis;/;/;/;/;/;-;/;/;/;/
08225;      Neckar-Odenwald-Kreis, Landkreis;70,1;/;68,9;52,6;49,1;70;/;774,1;36;435,1
08226;      Rhein-Neckar-Kreis, Landkreis;77,8;56,5;72,4;63,4;40,5;/;/;794,2;32,7;502,4
08231;      Pforzheim, Stadtkreis;/;/;/;-;/;/;/;-;-;/
08235;      Calw, Landkreis;/;/;/;72,2;/;/;/;/;/;/
